time ,device 69,device 70,device 71,device 72,device 73,device 75,device 76,device 77,device 78,device 79,device 80,device 81,device 82,device 83,device 84,device 85,device 86,device 87,device 88,device 89,device 91,device 92,device 93,device 94,device 95,device 96,device 97,device 98,device 99,device 100,device 101,device 103,device 104,device 105,device 106,device 107,device 108,device 109,device 110
2022/9/24,204.8515797,271.4863871,177.7506066,135.0289873,,,145.0608055,95.80536966,25.20808078,,145.928348,305.9229027,190.3678135,327.2379165,312.0413301,398.5695106,118.5636056,325.3772946,,182.1375589,277.4524465,419.8233088,,,148.7092289,121.161994,338.5639921,140.3426956,,157.4048805,191.1873729,,242.5503947,466.4122232,129.1832648,85.85264468,56.26084516,15.06068369,
2022/9/25,287.2509627,532.9411162,221.1053106,,,,204.1281193,160.8527132,63.97325255,,133.8125926,362.83658,190.1515899,362.6303149,377.3284474,386.4465316,137.4563539,436.0690316,,172.4673609,291.8967215,549.9184727,,,175.1878786,245.6320676,208.389415,217.8111912,,173.7919384,191.4306249,,242.8229602,484.601714,136.2484518,97.84178322,61.79334587,15.43882313,
2022/9/26,235.9013819,240.8382708,378.6928977,,,120.8950001,135.3786189,94.25937154,55.96435214,,134.3370532,378.5607424,224.5721858,345.5499522,258.0281816,388.8981834,127.253356,189.7560112,,214.5193363,149.3233445,256.9716592,,,226.9004175,133.1228372,397.341654,137.7260479,,210.983177,268.2329878,,142.9200568,292.0409353,154.8411315,121.355094,18.00387293,15.74710644,
2022/9/27,145.4346871,242.3713913,261.0825273,,,122.1681644,125.8605776,92.41579711,41.05210555,,171.2126614,188.2334348,159.8342957,195.1730386,272.9165796,236.1457263,130.3138488,202.1055559,,181.8377517,147.917821,389.3406563,,,150.9043386,122.0833201,347.0262944,140.9921784,,173.3836945,271.2500202,,144.8901269,287.3160348,121.5515473,92.90570751,18.25179629,15.68029238,
2022/9/28,137.8219051,386.3293334,283.9853205,,,93.60543136,97.55593906,66.0481391,26.68125303,,146.5634461,421.3315128,256.0507078,426.3781045,332.4884849,408.8263229,141.8506188,304.8468888,,184.4792711,186.5748074,540.1109052,,,331.0694203,78.11986123,214.6715723,154.8636974,,232.4297618,204.3973266,,214.2436799,405.3047229,216.5271016,179.618505,17.98742422,15.90249203,
2022/9/29,201.0398001,388.9073501,394.3835535,,,120.1260812,140.920384,107.4026158,49.12988683,,108.8424986,279.7460121,288.2162829,401.1769001,318.0530908,356.8666651,123.0716636,260.8733507,,179.0480489,209.7238127,507.1368933,,,164.5883973,161.9233582,184.7457913,143.7131878,,222.6308561,225.1672007,,195.5556619,573.7216114,171.8813744,141.8554393,17.78797135,16.30839822,
2022/9/30,112.6760507,335.8808111,471.7471606,,,77.54638682,81.71423492,54.47579218,27.71649436,,142.4633248,350.4211892,278.6916307,464.290213,214.8271302,460.7567534,162.2375243,222.3475877,,175.2538253,206.0498306,333.4630204,,,304.4445163,63.54331025,239.000656,160.9026326,,282.1122577,273.8096233,,189.3637261,337.3088152,165.6376272,136.6864052,18.47593498,16.34368391,
2022/10/1,206.3983999,180.0814663,262.565006,,,150.1194169,149.7989205,135.1246912,66.09774236,,124.1226034,192.8338202,202.6588571,242.3437622,210.2901737,229.3047009,238.1257007,229.7865024,,170.8005025,131.3337709,186.2331368,,,244.8141607,208.8114497,357.0891811,168.4228671,,208.5905268,341.7976154,,144.9472207,185.6935814,187.8916862,157.8540786,19.23136101,16.30962438,
2022/10/2,227.0078415,123.5902874,296.0959658,,,201.180209,201.5062548,193.5784604,98.31270596,,133.9418388,160.8428599,156.8474198,146.4665925,136.9900808,145.3580832,317.1710733,163.9891474,,188.6799543,111.0083994,145.6590049,,,284.2357415,315.3729439,609.9165261,131.8403582,,281.9008836,419.8125561,,122.6501493,155.1926245,190.6045011,141.7845919,19.270256,16.56546959,
2022/10/3,397.0043612,109.5981596,296.1072417,,,256.8377884,261.7924838,254.0901583,140.9914425,,338.1203686,169.1427014,162.4551247,161.5833569,143.5971717,138.2192652,289.7022873,177.038066,,164.3552928,107.9545627,132.1148043,,,297.4995849,432.3351698,457.0237813,117.1519738,,184.4306296,389.0141111,,111.7925612,144.8198608,216.4969608,135.3863629,19.98178948,16.53320659,
