device 70,device 81,device 83,device 89,device 96,device 99
286.524736,377.5776205,707.3706855,272.5732195,559.7226653,434.4668678
282.2854843,305.5045655,594.1088373,237.516091,252.4912985,314.2647513
274.3283563,282.6245638,593.4736468,229.0554585,220.3743553,314.8521188
281.89271,282.7113545,590.4083183,237.2067183,159.4984045,360.1639823
333.6575018,406.422577,809.749961,258.7039363,432.5939823,373.811696
301.9105285,371.8451435,756.833304,313.78616,289.087745,368.333452
328.3156158,553.8269378,905.538139,469.3033215,721.5870443,381.1209335
299.3226976,342.5199418,615.6180233,404.8782055,351.337902,338.8095978
325.1321538,318.874563,462.4881663,747.243038,300.4519438,319.6705928
339.2376853,352.8820515,798.6121645,582.5150383,417.4957868,495.2653582
282.2914628,353.1709738,494.3771335,661.2062485,465.8043068,636.5531723
299.8907728,317.7095778,374.4299165,393.1752758,377.5633185,461.9971893
242.5576793,227.2147268,414.5988193,405.2832988,360.1827905,377.8355485
329.9278443,320.405733,880.4384033,615.7586538,682.017217,464.8088595
449.222251,502.125106,1318.474917,1017.897914,1265.571295,623.467731
458.7004,639.7866538,1145.359039,746.782586,1188.005783,672.913642
441.7622393,625.623701,1051.744838,519.0346703,1317.063533,721.897144
542.1552933,616.8350825,1402.497936,373.761554,973.7088718,1219.287961
536.4301175,705.0793868,1361.429275,787.4106575,1369.130564,1261.076391
375.2978778,600.165322,839.6447133,273.0201785,1102.632615,833.2486643
300.8047293,407.2457988,467.741993,262.8601258,795.8915083,489.2715163
311.6318935,355.6888038,514.963412,241.0026413,496.8796476,532.2841237
367.938743,442.8778953,811.2599793,358.4891878,578.2906473,637.1099222
372.6700205,252.3363405,597.114539,410.360101,257.086334,427.9065745
307.3282073,228.636383,336.6371998,260.75407,136.4172525,294.7201685
317.2582353,250.8377215,453.6843388,362.925499,137.8753138,249.574076
322.349154,266.1837263,477.31788,396.25862,160.241978,265.8571332
366.749108,285.5754358,356.0260275,402.4594528,100.562024,281.4279898
338.624846,261.5476645,425.2987213,301.0640833,26.75851625,311.5862935
331.4110313,321.8710808,544.0648828,305.9480585,98.1443674,453.6271558
358.4793305,397.8903963,747.234062,360.589112,403.9882618,321.9599215
399.7653773,504.6489165,792.6428173,274.4315613,421.1054258,374.3529663
380.041848,456.2809025,813.5202887,254.4432965,368.930411,696.2562903
427.960538,448.524918,1107.446678,323.3245608,970.5113645,646.056191
529.8721218,793.007276,1182.276696,497.938011,1175.288757,1185.591464
465.9229693,370.3786533,1209.896429,415.4341405,569.8157995,782.9842453
588.239391,681.2031865,1158.384003,387.3629288,955.2147008,847.9501083
383.4634055,206.112307,454.9753183,247.1821223,276.133783,322.967198
321.2087545,246.6532415,413.1509385,284.9672185,258.1164698,298.3073213
380.711758,207.329165,325.1101102,433.607,218.7500863,254.8387243
319.102924,237.647374,323.6638528,431.9086883,204.0285693,318.3243518
337.7233503,235.1858363,377.81549,549.8629378,223.1727038,310.2607818
329.1796553,360.2590195,963.5621832,731.0884563,279.0764825,474.9144213
363.1754238,417.083266,826.3338188,627.1258723,337.977823,362.6363935
435.880661,311.4393668,844.3669272,475.6143168,369.793749,323.2657308
540.6341768,249.8844848,364.5260862,304.339704,201.9959605,294.5352593
455.1567333,259.125958,431.930493,275.6583648,215.6772165,255.30164
395.7876048,237.2062675,399.093087,269.4747293,194.140402,246.0210953
398.2739973,261.0915918,376.809108,255.4467963,176.3187578,288.6300867
351.97175,240.4672388,291.2046758,227.572325,180.7174308,241.425992
364.18513,212.3029713,261.2170313,208.8399015,171.01698,227.767583
364.5797058,225.6236908,262.4850975,202.1504843,35.179959,219.0770965
355.308427,340.0671948,302.8426718,211.465421,219.174055,226.2393665
364.6546638,284.5974128,294.8935043,228.3006315,20.069723,215.2298305
409.59565,307.6427905,222.9326683,219.516677,58.93188675,226.2344955
533.0551984,209.7268573,180.9019825,235.0670868,98.55388425,210.1355345
389.4014115,194.0839738,566.394024,421.282196,129.064457,244.2006238
522.6705365,705.922705,1111.28743,884.4569855,992.3331628,853.381775
546.3135518,550.77916,1105.923645,914.5862908,1000.74605,889.6417335
496.4374628,624.2064393,1194.732223,739.8963803,1038.211006,678.672054
513.3949087,731.8098145,1152.844141,894.8713163,1006.716533,1015.977695
502.8166723,457.7424223,1130.742322,623.9707645,728.8797878,691.643685
332.0960336,255.9747268,859.3000088,399.3218923,235.9179385,358.3002865
314.0742553,213.2625075,761.67187,325.5437568,169.8484388,329.0680293
346.6673013,168.4446418,369.3025993,274.3187618,149.7678285,299.5444723
426.2942978,163.9869513,319.1128593,219.5179398,148.8873055,426.2660845
302.849642,332.6148305,839.2832205,269.456339,350.952081,607.964726
500.9659468,779.228323,1246.036493,356.8462403,1019.601505,810.4654203
339.3780803,240.7706915,529.2825468,249.8159343,397.8374773,498.713269
437.362185,192.9074565,339.6877314,194.2984163,175.553993,363.1856823
448.652589,184.661627,318.6380457,191.7883475,136.5771095,250.7701818
424.1173573,211.8559778,327.3514994,199.408585,136.0666763,259.8254078
